TRAD_COMM,sec,crp,agr,tot,lsp,Note
grain,CGR,CRP,AGR,TOT,,
milk,DRY,LSP,AGR,TOT,LSP,
frs,FOR,,,TOT,,
fish,FSH,,,TOT,,
pigpoul,OAP,LSP,AGR,TOT,,
oils,OSD,CRP,AGR,TOT,,
crops,PFB,CRP,AGR,TOT,,also includes OCR
pdr,RIC,CRP,AGR,TOT,,
cattle,RUM,LSP,AGR,TOT,LSP,also includes wol
sug,SGC,CRP,AGR,TOT,,
hort,VFN,CRP,AGR,TOT,,
wht,WHT,CRP,AGR,TOT,,
biod,,,,TOT,,
biog,,,,TOT,,
c_oil,,,,TOT,,
chem,,,,TOT,,
cmt,,,,TOT,,
coa,,,,TOT,,
cvol,,,,TOT,,
dairy,,,,TOT,,
ddgs,,,,TOT,,
ely,,,,TOT,,
feed,,,,TOT,,
gas,,,,TOT,,
ofd,,,,TOT,,
oilcake,,,,TOT,,
omt,,,,TOT,,
othind,,,,TOT,,
petro,,,,TOT,,
ser,,,,TOT,,
sugar,,,,TOT,,
vol,,,,TOT,,
